label,mask_count,percentage_of_all_masks,mean_confidence,median_confidence,min_confidence,max_confidence,mean_area_percentage,median_area_percentage,min_area_percentage,max_area_percentage
window,87,2.699348433136829,0.38331137272133226,0.3665212392807007,0.30509960651397705,0.5561668872833252,1.4116904980751406,1.3029229524074886,0.32639414082713053,11.28249014846953
wall,85,2.637294446168166,0.36117562476326437,0.3338046073913574,0.30067896842956543,0.5139661431312561,10.81754629965667,10.566015205190462,1.5331236980721517,21.66872321511497
shelf cabinet bookshelf,81,2.513186472230841,0.4010399410754074,0.4155033826828003,0.30886510014533997,0.47402188181877136,1.1393081839817236,1.048839708633523,0.09685679788772572,5.979248762753917
table desk,75,2.3270245113248524,0.37903069257736205,0.3646911382675171,0.3029722273349762,0.5075392127037048,3.114507733064434,2.169990314320211,0.1154320741949608,13.892979872361316
monitor television,43,1.3341607198262488,0.5107889314030492,0.5349445343017578,0.3022020757198334,0.6758130192756653,0.9233331697968474,0.9811726306571668,0.07894492430574905,1.6220196632567767
curtain,43,1.3341607198262488,0.40449672175008194,0.3781624734401703,0.30224117636680603,0.7397274971008301,1.6060671419098658,1.4097307911740902,0.08425214610781621,3.2493465483156205
sofa bed,27,0.8377288240769469,0.4382498440919099,0.41231563687324524,0.31562814116477966,0.6435368061065674,1.9833775847521553,1.9915349812257028,0.7390306359378525,3.029096843529833
sink,20,0.6205398696866273,0.34787857681512835,0.34482361376285553,0.30334529280662537,0.4081583023071289,0.09891334633602675,0.06965728615213151,0.025209303559819023,0.2414785919940559
chair sofa,10,0.31026993484331367,0.4097103625535965,0.3690286725759506,0.32849323749542236,0.6074987053871155,7.273613820005574,4.966896204009606,1.7746022900662075,17.738725470684233
window picture frame,7,0.21718895439031957,0.34686520269938875,0.3295857310295105,0.3092341423034668,0.3870207369327545,1.297047099698057,0.1857527630723507,0.0995104087887593,4.475314784593135
window mirror,6,0.18616196090598822,0.3243129899104436,0.32391248643398285,0.3162688612937927,0.3352614641189575,1.1082142525441496,1.0574639440618823,0.32175032175032175,1.5934933460706657
wardrobe,6,0.18616196090598822,0.307834858695666,0.3072492629289627,0.30110493302345276,0.3159286677837372,6.502010110257532,5.923854635194841,4.117077312953602,9.23191232469583
window curtain,5,0.15513496742165683,0.4736759185791016,0.48776280879974365,0.3687381148338318,0.6027814149856567,1.4020353195610926,1.2067295572450212,0.884315832769441,2.376308561875572
floor rug,5,0.15513496742165683,0.483909547328949,0.5060515999794006,0.3751462697982788,0.5767374634742737,16.07769772718226,20.33528373734559,2.1368201780572913,27.686449335933872
shelf cabinet wardrobe bookshelf,5,0.15513496742165683,0.3131820797920227,0.30664175748825073,0.30210423469543457,0.33157894015312195,10.131353739601163,10.791572131778317,7.245684565272194,11.864957741246402
door wardrobe,4,0.12410797393732548,0.39286892116069794,0.3782203644514084,0.3199252486228943,0.4951097071170807,9.281169977046266,5.970292825962929,0.9519829107457973,24.232111345513406
laptop,3,0.09308098045299411,0.3166285951932271,0.32055529952049255,0.30059579014778137,0.32873469591140747,0.11720114812898319,0.12073929599702796,0.10946144966763524,0.12140269872228635
curtain wardrobe,3,0.09308098045299411,0.3562450706958771,0.3442503809928894,0.3020360469818115,0.4224487841129303,12.59978682659095,12.467990818506282,12.414918600485612,12.916451060780958
monitor mirror television,2,0.06205398696866274,0.4808792620897293,0.4808792620897293,0.4254755675792694,0.5362829566001892,0.7536254958935371,0.7536254958935371,0.4259045496158898,1.0813464421711845
fireplace,2,0.06205398696866274,0.306890606880188,0.306890606880188,0.30503806471824646,0.3087431490421295,5.940108001963672,5.940108001963672,5.755682044341838,6.124533959585506
shelf cabinet,2,0.06205398696866274,0.30341963469982147,0.30341963469982147,0.3031904995441437,0.30364876985549927,7.393623373004816,7.393623373004816,0.08889596518462498,14.698350780825008
cup lamp,2,0.06205398696866274,0.3173418939113617,0.3173418939113617,0.3110796809196472,0.32360410690307617,0.2262203293131128,0.2262203293131128,0.22555692658785442,0.22688373203837123
chair sofa rug,2,0.06205398696866274,0.3637831062078476,0.3637831062078476,0.33452174067497253,0.39304447174072266,8.446775199352519,8.446775199352519,7.700778834799453,9.192771563905584
monitor mirror,1,0.03102699348433137,0.3518824875354767,0.3518824875354767,0.3518824875354767,0.3518824875354767,0.3157796972229962,0.3157796972229962,0.3157796972229962,0.3157796972229962
mirror fireplace,1,0.03102699348433137,0.3097289204597473,0.3097289204597473,0.3097289204597473,0.3097289204597473,5.107537581764386,5.107537581764386,5.107537581764386,5.107537581764386
bed rug,1,0.03102699348433137,0.394461065530777,0.394461065530777,0.394461065530777,0.394461065530777,6.249917074659343,6.249917074659343,6.249917074659343,6.249917074659343
chair bed,1,0.03102699348433137,0.3059610426425934,0.3059610426425934,0.3059610426425934,0.3059610426425934,0.16850429221563243,0.16850429221563243,0.16850429221563243,0.16850429221563243
chair rug pillow,1,0.03102699348433137,0.328276664018631,0.328276664018631,0.328276664018631,0.328276664018631,17.94305351006382,17.94305351006382,17.94305351006382,17.94305351006382
sofa bookshelf,1,0.03102699348433137,0.3226264715194702,0.3226264715194702,0.3226264715194702,0.3226264715194702,1.2929719115286125,1.2929719115286125,1.2929719115286125,1.2929719115286125
window picture,1,0.03102699348433137,0.31920555233955383,0.31920555233955383,0.31920555233955383,0.31920555233955383,3.9419389934853855,3.9419389934853855,3.9419389934853855,3.9419389934853855
chair rug,1,0.03102699348433137,0.30949148535728455,0.30949148535728455,0.30949148535728455,0.30949148535728455,11.4184877071475,11.4184877071475,11.4184877071475,11.4184877071475
monitor window picture frame,1,0.03102699348433137,0.3293192386627197,0.3293192386627197,0.3293192386627197,0.3293192386627197,0.1446217941063302,0.1446217941063302,0.1446217941063302,0.1446217941063302
chair desk,1,0.03102699348433137,0.3948316276073456,0.3948316276073456,0.3948316276073456,0.3948316276073456,0.1015006169645345,0.1015006169645345,0.1015006169645345,0.1015006169645345
monitor,1,0.03102699348433137,0.3116303086280823,0.3116303086280823,0.3116303086280823,0.3116303086280823,0.7642399394976714,0.7642399394976714,0.7642399394976714,0.7642399394976714
