label,mask_count,percentage_of_all_masks,mean_confidence,median_confidence,min_confidence,max_confidence,mean_area_percentage,median_area_percentage,min_area_percentage,max_area_percentage
window curtain,7,0.21725636250775915,0.4291125365665981,0.3785659074783325,0.3029303252696991,0.6142303943634033,1.3043445296758993,1.1908078918388196,0.8849792354946994,2.3723281455240217
window picture frame,7,0.21725636250775915,0.3485719050679888,0.3374781310558319,0.30590197443962097,0.39192163944244385,1.2727855143171785,0.1857527630723507,0.0995104087887593,4.304820284201727
window mirror,6,0.186219739292365,0.3197549680868785,0.3190467953681946,0.30777233839035034,0.33450445532798767,1.300822177110837,1.2720747256829732,1.0342448486778384,1.5915031378948905
floor rug,5,0.15518311607697083,0.48315444588661194,0.5064687132835388,0.37171775102615356,0.5737771391868591,16.076370921731748,20.32334248829094,2.1381469835078084,27.68843954410965
shelf cabinet wardrobe bookshelf,5,0.15518311607697083,0.317817485332489,0.31682276725769043,0.3081943392753601,0.32997405529022217,10.182701110536161,10.784274701800475,7.349175390412504,11.876898990301052
wardrobe,4,0.12414649286157665,0.3047475963830948,0.30265219509601593,0.3013535141944885,0.31233248114585876,6.791087847788879,6.907680876753042,4.117077312953602,9.23191232469583
door wardrobe,3,0.0931098696461825,0.35822900136311847,0.35344529151916504,0.3186008632183075,0.40264084935188293,4.297522854223885,3.9691385052209793,0.9519829107457973,7.971447146704879
fireplace,3,0.0931098696461825,0.3056734999020894,0.30496618151664734,0.3034173846244812,0.30863693356513977,5.779564542451141,5.755682044341838,5.4578142207008185,6.1251973623107645
laptop,3,0.0931098696461825,0.3180646598339081,0.3218717873096466,0.3027784526348114,0.32954373955726624,0.11698001388723038,0.12140269872228635,0.10813464421711845,0.12140269872228635
curtain wardrobe,3,0.0931098696461825,0.359234223763148,0.3504457175731659,0.3057539761066437,0.4215029776096344,12.600892497799714,12.472634637583091,12.413591795035094,12.916451060780958
monitor mirror television,2,0.06207324643078833,0.4730242192745209,0.4730242192745209,0.4254586696624756,0.5205897688865662,0.7536254958935371,0.7536254958935371,0.4259045496158898,1.0813464421711845
shelf cabinethelf,2,0.06207324643078833,0.31066417694091797,0.31066417694091797,0.30054745078086853,0.3207809031009674,1.7152277461555812,1.7152277461555812,1.0402154732051638,2.3902400191059985
shelf cabinet,2,0.06207324643078833,0.3024204224348068,0.3024204224348068,0.301883727312088,0.30295711755752563,7.393291671642187,7.393291671642187,0.08889596518462498,14.697687378099749
